career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Financial Analyst,2.7,4.81,2.01,2.03,4.0,6.26,5,3,2,2,Office,Large (20+),Low,Moderate,High salary,Data,Not,Bachelors,Commerce/Business,Basic,Strongly indoor,18-22,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Doctor,4.33,6.76,1.42,5.28,2.57,3.16,3,5,1,3,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,HighSchool,Science/Math,Never,Mostly indoor,28-35,I enjoy studying the human body and understanding how all systems interact,I would combine technology and medicine to revolutionize patient care completely,I am known for my attention to detail and thoroughness in everything I do daily,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Business Consultant,1.0,5.54,1.94,2.95,5.26,6.42,3,5,2,1,Office,Large (20+),High,Fast-paced,High salary,Ideas,Very,Masters,Commerce/Business,Never,Mostly indoor,18-22,I love diagnosing what is fundamentally wrong with an organization and prescribing the right fix,I would advise Fortune 500 companies on their most critical and difficult strategic challenges,People say I have an exceptional ability to structure very messy problems into completely clear logic,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Data Scientist,1.75,7.0,3.07,1.0,1.62,4.99,4,3,5,2,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Pursuing,Science/Math,Advanced,Strongly indoor,35+,I love finding hidden patterns in large datasets that others completely miss,I would analyze global health data to predict and prevent disease outbreaks,People say I have an exceptional ability to find meaning in numbers and data,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Software Engineer,3.03,5.29,2.77,2.07,2.12,5.63,4,3,5,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Somewhat,Pursuing,Science/Math,Expert,Strongly indoor,28-35,I enjoy designing clean APIs and writing maintainable readable code,I would contribute to AI systems that genuinely help people in daily life,My peers say I can pick up any new technology extremely quickly,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Graphic Designer,2.4,3.39,6.05,2.08,3.7,3.89,2,1,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Masters,Arts/Humanities,Never,Strongly indoor,18-22,I love solving visual communication problems through design and typography,I would run my own creative studio designing brand identities for startups,People say I have an extraordinary eye for color harmony and visual balance,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Graphic Designer,3.95,2.78,7.0,2.33,3.68,4.23,2,2,2,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Pursuing,Arts/Humanities,Never,Strongly indoor,18-22,I love finding the perfect color palette and layout that makes a brand memorable,I would build a design school that teaches visual thinking to young people,My peers say my design work is always instantly recognizable and distinctive,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Product Manager,2.99,6.23,2.02,3.19,2.91,5.26,4,5,4,3,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Extremely,Masters,Commerce/Business,Intermediate,Mostly indoor,28-35,I love the process of taking a product from zero to one and then scaling it,I would reshape an entire industry through a product nobody imagined before,Friends say I naturally take charge in group projects and keep everyone on track,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Marketing Manager,2.18,3.1,1.95,2.6,7.0,3.86,1,5,2,4,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Very,PhD,Commerce/Business,Basic,Mostly indoor,23-27,I love the puzzle of understanding an audience and speaking directly to their needs,I would use marketing to promote social causes and drive real lasting change,My colleagues say I can build genuine connections with almost anyone I meet,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Lawyer,1.36,4.61,2.23,3.64,4.86,3.95,3,5,1,1,Office,Large (20+),Low,Moderate,High salary,People,Somewhat,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I love constructing logical arguments and finding flaws in opposing positions,I would run a public interest law firm fighting for human rights and social justice,People say I am an exceptionally persuasive and logically structured communicator,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Content Creator,2.57,3.3,3.92,3.23,4.23,4.74,1,5,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,23-27,I get excited by building an audience through content that genuinely helps real people,I would create documentary content that changes how people see very important issues,Friends say my writing voice is very distinctive and they can always recognize my work,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Data Scientist,2.01,6.52,2.52,1.92,3.0,5.05,4,3,4,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Extremely,Masters,Science/Math,Advanced,Strongly indoor,35+,I get excited when data tells a story that changes how people make decisions,I would build recommendation systems that truly understand what people need,Friends say I can turn complicated data into clear and compelling visualizations,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Product Manager,4.42,5.29,1.35,1.65,3.44,4.98,3,5,4,3,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Extremely,PhD,Commerce/Business,Intermediate,Mostly indoor,18-22,I enjoy prioritizing competing demands and deciding with limited information,I would start my own startup and take a product from idea to market leader,I am known for my strategic thinking and ability to see the big picture clearly,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Educator,2.32,3.05,4.44,6.4,2.79,3.24,2,5,2,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Extremely,Pursuing,Arts/Humanities,Never,Mostly indoor,23-27,I love finding new ways to explain difficult concepts until they finally click,I would build a school that makes every student feel seen valued and truly capable,People say I have a rare gift for explaining complex ideas in very simple terms,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Supply Chain Manager,1.92,3.99,1.0,1.69,4.94,5.98,4,4,3,3,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Bachelors,Commerce/Business,Basic,Mostly indoor,Under 18,I enjoy finding the bottleneck in a supply chain that is silently costing millions every month,I would create supply chains so efficient they make products affordable for everyone globally,People say I can model supply chain scenarios and predict disruptions before they actually happen,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Software Engineer,3.61,6.04,2.27,1.83,2.55,5.64,5,4,4,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Somewhat,PhD,Science/Math,Expert,Strongly indoor,23-27,I love debugging complex systems and finding elegant solutions to logic problems,I would build open source tools that millions of developers use every day,People say I explain technical concepts in a very clear and simple way,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Financial Analyst,3.29,5.23,2.09,3.0,4.72,4.71,5,4,3,3,Office,Large (20+),Low,Moderate,High salary,Data,Somewhat,PhD,Commerce/Business,Basic,Strongly indoor,Under 18,I love analyzing financial statements and finding opportunities others overlook,I would manage an investment fund that generates returns for thousands of people,People say I have an exceptional ability to work with numbers and spreadsheets,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Data Scientist,1.41,7.0,2.13,1.46,2.24,5.32,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Extremely,PhD,Science/Math,Advanced,Strongly indoor,18-22,I get excited when data tells a story that changes how people make decisions,I would build recommendation systems that truly understand what people need,Friends say I can turn complicated data into clear and compelling visualizations,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Software Engineer,4.13,6.15,2.32,1.9,2.08,5.49,5,3,5,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Somewhat,Pursuing,Science/Math,Expert,Strongly indoor,23-27,I get excited solving algorithmic challenges and optimizing code performance,I would develop the infrastructure that powers the next generation internet,Colleagues say I debug problems faster than anyone else on the team,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Educator,2.44,4.55,3.46,6.04,4.23,4.59,3,4,1,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Extremely,HighSchool,Arts/Humanities,Never,Mostly indoor,28-35,I get deep satisfaction when I see the moment a student truly understands something,I would create free online courses that educate millions of people around the world,Students always say I am the teacher who made them finally believe they could learn,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
HR Manager,1.0,2.78,1.85,3.77,7.0,5.5,2,4,1,1,Office,Large (20+),Medium,Moderate,Job stability,People,Very,Masters,Commerce/Business,Never,Strongly indoor,28-35,I love solving the challenge of building teams where every person truly thrives together,I would build company cultures where every single employee feels valued and heard,People say I have a natural gift for making absolutely everyone feel welcome and included,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Business Consultant,1.26,5.76,2.2,2.46,5.45,6.99,3,4,3,3,Office,Large (20+),High,Fast-paced,High salary,Ideas,Somewhat,Bachelors,Commerce/Business,Never,Mostly indoor,28-35,I love the challenge of influencing senior leaders to adopt genuinely better ways of working,I would use strategy consulting skills to dramatically improve how governments serve citizens,Friends say I can analyze any situation very quickly and immediately identify the core issue,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
UX Designer,2.4,3.83,4.86,4.15,2.66,3.29,1,3,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Very,Pursuing,Arts/Humanities,Intermediate,Mostly indoor,28-35,I enjoy conducting user research and translating insights into better designs,I would run a design studio focused on human centered product design globally,Friends always ask me to review apps and websites before they launch them,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
UX Designer,1.88,4.39,4.69,5.15,3.13,2.78,1,3,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Extremely,Masters,Arts/Humanities,Intermediate,Mostly indoor,23-27,I love observing how people interact with products and finding friction points,I would design accessibility tools that make technology usable for everyone,People say I have an exceptional ability to understand what others truly need,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Lawyer,1.0,3.54,2.33,3.21,5.32,5.19,2,4,1,3,Office,Large (20+),Low,Moderate,High salary,People,Not,Pursuing,Arts/Humanities,Never,Mostly indoor,28-35,I love studying how laws shape society and influence human behavior at scale,I would advise governments on policy to create more equitable legal systems globally,People say I stay calm and sharp under pressure in the most high stakes situations,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Data Scientist,1.87,7.0,2.53,1.84,1.88,5.25,5,3,5,2,Remote,Small (2-5),Medium,Varies,High salary,Data,Not,Bachelors,Science/Math,Advanced,Strongly indoor,28-35,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Software Engineer,3.61,5.8,1.68,2.46,2.3,5.51,5,3,4,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Very,Masters,Science/Math,Expert,Strongly indoor,28-35,I get excited solving algorithmic challenges and optimizing code performance,I would develop the infrastructure that powers the next generation internet,Colleagues say I debug problems faster than anyone else on the team,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Content Creator,1.43,3.5,4.5,2.36,4.47,3.98,1,4,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,HighSchool,Arts/Humanities,Never,Strongly indoor,35+,I love experimenting with different content formats to see what truly resonates deeply,I would build the largest educational channel in my subject area anywhere in the world,Colleagues say I have an instinct for what audiences want even before they know it,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Business Consultant,1.12,5.19,2.13,2.37,4.41,7.0,4,4,1,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Masters,Commerce/Business,Never,Mostly indoor,Under 18,I enjoy building frameworks that simplify very complex business problems into clear choices,I would start my own consulting firm completely focused on sustainable business practices,I am known for asking the one question in a meeting that changes the entire strategic direction,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Marketing Manager,1.0,2.79,1.68,2.08,6.36,4.17,1,5,2,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Extremely,PhD,Commerce/Business,Basic,Mostly indoor,Under 18,I enjoy finding the one insight about customers that changes everything about strategy,I would build a community around a brand so strong it markets itself organically,People say I can write copy that makes people feel understood and compelled to act,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Architect,3.05,5.36,3.05,1.59,2.37,4.27,4,2,3,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Extremely,Bachelors,Mixed,Never,Both equally,35+,I get excited when I can design a space that changes how people feel and move,I would create affordable housing that is beautiful dignified and genuinely livable,Friends always ask me to help redesign their homes and reimagine their living spaces,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Entrepreneur,3.08,2.21,1.09,2.61,6.58,5.57,1,2,2,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Somewhat,Masters,Commerce/Business,Never,Both equally,18-22,I get excited by building something from nothing and growing it through sheer persistent effort,I would start multiple ventures across different domains I am genuinely passionate about,Friends say I turn every single problem I encounter into a potential business opportunity,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Content Creator,1.75,3.07,3.72,3.36,3.48,4.62,1,5,1,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Bachelors,Arts/Humanities,Never,Strongly indoor,23-27,I love finding the perfect angle on a story that makes people stop and pay close attention,I would build a media brand that educates and entertains millions of loyal followers,People say I have a natural storytelling ability that genuinely keeps everyone engaged,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
UX Designer,2.82,3.76,6.0,3.27,3.78,3.42,1,3,4,4,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Extremely,PhD,Arts/Humanities,Intermediate,Mostly indoor,23-27,I get passionate when I can redesign an experience to make it truly intuitive,I would create digital experiences so intuitive they feel completely invisible,My colleagues say I can spot a bad user experience from a mile away instantly,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Architect,4.13,5.56,2.66,2.3,4.12,4.11,4,2,4,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Somewhat,Masters,Mixed,Never,Both equally,18-22,I love designing spaces that bring communities together and serve real human needs,I would build schools and hospitals in developing regions that inspire their users,My peers say I can see the complete picture while still managing every small detail,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Mechanical Engineer,6.52,3.99,2.47,1.0,1.0,3.67,4,2,4,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Extremely,Masters,Science/Math,Never,Both equally,18-22,I get excited by the challenge of making mechanical systems dramatically more efficient,I would build manufacturing systems that produce goods with absolutely zero waste,Friends always ask me to fix mechanical things because I can figure absolutely anything out,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Mechanical Engineer,5.75,5.45,2.37,1.61,2.01,4.15,4,2,5,3,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Extremely,Masters,Science/Math,Never,Both equally,28-35,I enjoy analyzing why a mechanical system failed and redesigning it to be stronger,I would create renewable energy systems that make fossil fuels completely obsolete,People say I have an unusual ability to understand how things break before they do,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
AI/ML Engineer,3.42,5.68,2.49,1.07,1.78,4.22,5,2,5,3,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,Masters,Science/Math,Expert,Strongly indoor,23-27,I enjoy optimizing model performance and reducing inference latency at scale,I would run an AI research lab working on problems that matter most to society,People say I have remarkable intuition for which ML approach will work best,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Supply Chain Manager,2.23,4.32,1.0,2.63,4.45,5.0,3,4,3,3,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Not,Masters,Commerce/Business,Basic,Mostly indoor,Under 18,I get excited by the challenge of delivering the right thing to the right place at the right time,I would build logistics systems for humanitarian aid that genuinely save lives during crises,Colleagues say I can spot a supply chain bottleneck long before it ever becomes a serious crisis,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Product Manager,3.92,4.5,1.53,2.69,4.46,5.26,3,5,3,4,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Very,Bachelors,Commerce/Business,Intermediate,Mostly indoor,18-22,I love sitting at the intersection of business technology and user needs,I would build a product that solves a massive problem for billions of people,People say I have an exceptional ability to align teams around a shared vision,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Lawyer,1.0,4.1,1.96,3.51,5.42,4.57,3,5,2,1,Office,Large (20+),Low,Moderate,High salary,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy finding the one legal precedent that changes the outcome of an entire case,I would build a legal aid organization that gives everyone access to quality defense,Colleagues say I can find the strongest argument for any position extremely quickly,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Financial Analyst,2.67,5.18,2.34,3.56,4.45,4.52,5,3,2,1,Office,Large (20+),Low,Moderate,High salary,Data,Not,Bachelors,Commerce/Business,Basic,Strongly indoor,18-22,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Architect,4.02,4.68,2.6,2.87,2.57,4.18,4,2,3,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Somewhat,HighSchool,Mixed,Never,Both equally,23-27,I enjoy finding creative solutions when budget and structural limitations conflict,I would create buildings that use zero energy and still feel warm and beautiful,People say I can communicate spatial ideas through drawings that anyone can understand,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Psychologist,1.79,5.52,2.94,5.56,2.31,4.27,1,4,2,3,Flexible,Large (20+),Medium,Moderate,Making impact,People,Extremely,Pursuing,Arts/Humanities,Never,Mostly indoor,18-22,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Software Engineer,3.81,4.96,2.42,1.99,1.62,5.3,4,4,5,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Not,Masters,Science/Math,Expert,Strongly indoor,23-27,I enjoy building scalable backend systems that handle millions of users,I would create software products that solve real problems for real people,Friends say I write the cleanest most readable code they have ever seen,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Mechanical Engineer,5.95,5.6,2.44,1.0,1.0,4.1,5,1,4,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Very,PhD,Science/Math,Never,Both equally,35+,I love solving engineering problems where physics and creativity must work together,I would work on space exploration hardware that expands human reach in the universe,Colleagues say I can spot a design flaw in a mechanical system almost instantly,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Data Scientist,2.28,7.0,2.1,1.33,1.84,5.19,4,3,4,2,Remote,Small (2-5),Medium,Varies,High salary,Data,Extremely,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Entrepreneur,3.56,3.5,1.36,3.13,5.81,5.21,1,2,2,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Extremely,Pursuing,Commerce/Business,Never,Both equally,18-22,I enjoy the challenge of severe resource constraints and finding very creative solutions fast,I would build a social enterprise that generates real profit and creates massive positive impact,I am known for my resilience and ability to bounce back much stronger after every setback,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Graphic Designer,3.94,2.67,7.0,1.92,3.0,3.41,1,3,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Masters,Arts/Humanities,Never,Strongly indoor,23-27,I enjoy creating visual systems that remain consistent across all touchpoints,I would design the visual identity for a brand that becomes globally iconic,People say I can produce beautiful work extremely quickly under tight deadlines,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Financial Analyst,3.41,3.91,2.13,2.39,4.28,5.49,4,3,1,1,Office,Large (20+),Low,Moderate,High salary,Data,Very,Masters,Commerce/Business,Basic,Strongly indoor,23-27,I love studying market trends and understanding the forces that drive economies,I would analyze global markets and write research that shapes investment decisions,I am known for my disciplined and methodical approach to every problem I face,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Product Manager,2.75,5.28,1.86,1.0,3.62,5.48,4,5,3,4,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Somewhat,Bachelors,Commerce/Business,Intermediate,Mostly indoor,35+,I get excited by defining what to build and why it will create real user value,I would lead product at a company whose mission I believe in completely,Colleagues say I can translate technical complexity into clear business value,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Entrepreneur,2.78,3.7,1.0,3.42,6.53,5.08,1,3,2,4,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Somewhat,Bachelors,Commerce/Business,Never,Both equally,18-22,I enjoy the challenge of severe resource constraints and finding very creative solutions fast,I would build a social enterprise that generates real profit and creates massive positive impact,I am known for my resilience and ability to bounce back much stronger after every setback,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Doctor,4.24,6.82,2.18,4.74,1.72,3.93,3,4,3,2,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,Pursuing,Science/Math,Never,Mostly indoor,18-22,I get satisfaction from making critical decisions that directly save human lives,I would train the next generation of doctors in developing countries worldwide,People say I have a natural ability to make others feel safe and well cared for,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Software Engineer,4.61,5.36,1.52,1.63,1.93,5.92,4,4,5,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Extremely,Bachelors,Science/Math,Expert,Strongly indoor,18-22,I enjoy designing clean APIs and writing maintainable readable code,I would contribute to AI systems that genuinely help people in daily life,My peers say I can pick up any new technology extremely quickly,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Doctor,5.42,6.07,1.05,5.56,2.28,3.95,3,5,2,2,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,Masters,Science/Math,Never,Mostly indoor,23-27,I feel most fulfilled when I can relieve someone pain or cure their illness,I would research rare diseases and develop treatments that do not yet exist today,Friends always come to me when they need careful and thoughtful medical advice,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Biotechnologist,5.56,6.74,1.97,2.44,1.62,3.12,5,2,5,2,Lab,Small (2-5),Medium,Slow and steady,Making impact,Physical things,Somewhat,Masters,Science/Math,Intermediate,Mostly indoor,18-22,I enjoy designing experiments that push the absolute boundaries of what living cells can do,I would create biodegradable materials that completely replace plastic in every product,I am known for my ability to connect fundamental biological principles to real world problems,102270,37400,Science | Reading Comprehension | Active Learning | Critical Thinking | Writing | Speaking | Mathematics | Active Listening
Financial Analyst,1.94,4.12,2.72,2.23,4.55,5.41,4,3,2,3,Office,Large (20+),Low,Moderate,High salary,Data,Very,Bachelors,Commerce/Business,Basic,Strongly indoor,18-22,I get excited by building financial models that predict business performance,I would advise startups on financial strategy and help them scale successfully,My professors praised my precision and attention to detail in financial modeling,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Environmental Scientist,5.12,6.48,2.51,3.36,2.56,4.49,4,4,3,2,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Extremely,Bachelors,Science/Math,Basic,Both equally,28-35,I love the challenge of communicating environmental science to completely non scientific audiences,I would advise governments on science based environmental protection legislation worldwide,Colleagues say my field data collection is always the most thorough and reliable on any team,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Civil Engineer,6.77,5.6,3.11,2.02,1.67,4.12,5,1,4,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Somewhat,Bachelors,Science/Math,Never,Both equally,18-22,I love the challenge of building in very difficult environments with severe constraints,I would lead construction of the most ambitious infrastructure project ever attempted,Colleagues say my structural calculations are always the most thorough on any team,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
